username,email,mobile
SECURITY OFFICER,shreeju@gmail.com,8965321457
CE (E&T),shreeju@gmail.com,8965321457
GT(FIRE),shreeju@gmail.com,8965321457
DySE(Mech),shreeju@gmail.com,8965321457
DySE(P),shreeju@gmail.com,8965321457
Manager Security,shreeju@gmail.com,8965321457
Sr. F&AO,shreeju@gmail.com,8965321457
SE(Mech),shreeju@gmail.com,8965321457
CE(Mech),shreeju@gmail.com,8965321457
Sr. FIREMAN,shreeju@gmail.com,8965321457
SENIOR SECURITY OFFICER,shreeju@gmail.com,8965321457
AEE(P),shreeju@gmail.com,8965321457
AEE(ENV),shreeju@gmail.com,8965321457
GM(PRODUCTION),shreeju@gmail.com,8965321457
SE (P),shreeju@gmail.com,8965321457
CE (Electrical),shreeju@gmail.com,8965321457
MANAGER(MM),shreeju@gmail.com,8965321457
A.G. I (P&A),shreeju@gmail.com,8965321457
DGM ( E & T ),shreeju@gmail.com,8965321457
GM (E & T ),shreeju@gmail.com,8965321457
SE ( E & T ),shreeju@gmail.com,8965321457
DYSE ( ELX ),shreeju@gmail.com,8965321457
DYSE ( TELECOM ),shreeju@gmail.com,8965321457
EE (ELX),shreeju@gmail.com,8965321457
EE (TELECOM),shreeju@gmail.com,8965321457
AEE (ELX),shreeju@gmail.com,8965321457
AEE (TELECOM),shreeju@gmail.com,8965321457
AE (ELX),shreeju@gmail.com,8965321457
AE (TELECOM),shreeju@gmail.com,8965321457
A/F(E),shreeju@gmail.com,8965321457
FM (ELX),shreeju@gmail.com,8965321457
AFM(ELX),shreeju@gmail.com,8965321457
JAT (ELX),shreeju@gmail.com,8965321457
AT (ELX),shreeju@gmail.com,8965321457
JT (ELX),shreeju@gmail.com,8965321457
AC FIRE,shreeju@gmail.com,8965321457
CHARGEMAN (ELX),shreeju@gmail.com,8965321457
GGM (PRODUCTION),shreeju@gmail.com,8965321457
CE (P),shreeju@gmail.com,8965321457
EE (P),shreeju@gmail.com,8965321457
AEE (P),shreeju@gmail.com,8965321457
AE (P),shreeju@gmail.com,8965321457
JE (P),shreeju@gmail.com,8965321457
FOREMAN  (P),shreeju@gmail.com,8965321457
FOREMAN  (MARINE),shreeju@gmail.com,8965321457
AFM (P),shreeju@gmail.com,8965321457
AFM (MARINE),shreeju@gmail.com,8965321457
CHARGEMAN (P),shreeju@gmail.com,8965321457
JT (P),shreeju@gmail.com,8965321457
AT (P),shreeju@gmail.com,8965321457
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
